bond_environment,occurrence_count,molecule_count,example_path,example_atom1_index,example_atom2_index
Z15_X4_q1_a0-Z6_X4_q0_a0,20,9,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/11626.npz,4,8
Z15_X3_q0_a0-Z6_X3_q0_a0,17,14,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10624.npz,2,17
Z15_X3_q0_a0-Z1_X1_q0_a0,17,12,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2319.npz,0,13
Z15_X4_q1_a0-Z6_X3_q0_a1,16,6,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/6646.npz,15,22
Z15_X4_q0_a0-Z1_X1_q0_a0,15,15,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2-torsion/441.npz,4,10
Z15_X3_q0_a0-Z17_X1_q0_a0,14,10,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2893.npz,0,6
Z6_X3_q1_a0-Z7_X3_q0_a0,13,8,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10086.npz,8,10
Z15_X4_q0_a0-Z9_X1_q0_a0,9,8,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/13244.npz,2,11
Z15_X4_q1_a0-Z8_X2_q0_a0,9,3,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/1889.npz,6,24
Z15_X3_q0_a0-Z6_X2_q0_a0,8,5,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2903.npz,0,26
Z15_X4_q0_a0=Z7_X2_q0_a0,7,7,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/536.npz,12,17
Z15_X3_q0_a0-Z35_X1_q0_a0,6,3,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/gen2/687.npz,0,1
Z15_X4_q0_a0-Z35_X1_q0_a0,6,3,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2407.npz,1,4
Z6_X3_q0_a0-Z6_X3_q1_a0,5,4,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/1781.npz,4,19
Z15_X4_q1_a0-Z8_X1_q-1_a0,4,3,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/1889.npz,1,24
Z15_X2_q0_a0=Z8_X1_q0_a0,4,4,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/4031.npz,0,2
Z6_X3_q0_a1-Z6_X3_q1_a0,3,3,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10086.npz,7,8
Z15_X3_q0_a0-Z8_X1_q-1_a0,3,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/3285.npz,0,3
Z15_X4_q1_a0-Z6_X3_q0_a0,3,2,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/6726.npz,2,27
Z16_X2_q0_a0-Z6_X3_q1_a0,2,2,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/10475.npz,3,17
Z15_X2_q0_a0-Z8_X2_q0_a0,2,2,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/5987.npz,1,2
Z15_X4_q0_a0-Z7_X3_q1_a0,1,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/2609.npz,7,10
Z15_X4_q0_a0-Z6_X2_q0_a0,1,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/3371.npz,2,8
Z15_X2_q0_a0-Z17_X1_q0_a0,1,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/4031.npz,1,2
Z15_X2_q0_a0=Z7_X2_q0_a0,1,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/4150.npz,0,1
Z15_X2_q0_a0-Z6_X4_q0_a0,1,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/4150.npz,1,9
Z15_X2_q0_a0-Z8_X1_q-1_a0,1,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/5344.npz,1,2
Z6_X3_q1_a0-Z7_X2_q-1_a0,1,1,/mnt/c/Users/f.rizza/Desktop/dompe/datasets-grappa/spice-pubchem/8993.npz,2,15
